binary_field,intermediate_path,table_path
EevposU22,signal.parsed.v1.raw.EevposU22,hvac.fact_raw.payload_json.raw.EevposU22
HighpressU22,signal.parsed.v1.raw.HighpressU22,hvac.fact_raw.payload_json.raw.HighpressU22
SasU22,signal.parsed.v1.raw.SasU22,hvac.fact_raw.payload_json.raw.SasU22
IcesU22,signal.parsed.v1.raw.IcesU22,hvac.fact_raw.payload_json.raw.IcesU22
IgRsv34,signal.parsed.v1.raw.IgRsv34,hvac.fact_raw.payload_json.raw.IgRsv34
IgRsv35,signal.parsed.v1.raw.IgRsv35,hvac.fact_raw.payload_json.raw.IgRsv35
IgRsv36,signal.parsed.v1.raw.IgRsv36,hvac.fact_raw.payload_json.raw.IgRsv36
IgRsv37,signal.parsed.v1.raw.IgRsv37,hvac.fact_raw.payload_json.raw.IgRsv37
IEfU11,signal.parsed.v1.raw.IEfU11,hvac.fact_raw.payload_json.raw.IEfU11
IEfU12,signal.parsed.v1.raw.IEfU12,hvac.fact_raw.payload_json.raw.IEfU12
ICfU11,signal.parsed.v1.raw.ICfU11,hvac.fact_raw.payload_json.raw.ICfU11
ICfU12,signal.parsed.v1.raw.ICfU12,hvac.fact_raw.payload_json.raw.ICfU12
IEfU21,signal.parsed.v1.raw.IEfU21,hvac.fact_raw.payload_json.raw.IEfU21
IEfU22,signal.parsed.v1.raw.IEfU22,hvac.fact_raw.payload_json.raw.IEfU22
ICfU21,signal.parsed.v1.raw.ICfU21,hvac.fact_raw.payload_json.raw.ICfU21
ICfU22,signal.parsed.v1.raw.ICfU22,hvac.fact_raw.payload_json.raw.ICfU22
IHvacU1,signal.parsed.v1.raw.IHvacU1,hvac.fact_raw.payload_json.raw.IHvacU1
IHvacU2,signal.parsed.v1.raw.IHvacU2,hvac.fact_raw.payload_json.raw.IHvacU2
